O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
2.25,1834006.16,2049.78,2.0865,1970.3,1.2795,1060.5,8.3598e-05,0.44503,0.3701,1411.3,0.7052,995.2
2.25,1978796.12,2049.85,2.2511,1969.5,1.2796,1060.6,8.36e-05,0.4444,0.3705,1411.3,0.7052,995.2
2.25,2123586.08,2049.92,2.4158,1968.7,1.2797,1060.6,8.3602e-05,0.44383,0.3708,1411.3,0.7052,995.3
2.25,2268376.04,2049.98,2.5804,1968.1,1.2798,1060.7,8.3603e-05,0.44332,0.3711,1411.3,0.7052,995.3
2.25,2413166,2050.04,2.7451,1967.5,1.2799,1060.7,8.3605e-05,0.44285,0.3714,1411.3,0.7052,995.3
2.25,2557955.96,2050.09,2.9097,1966.9,1.28,1060.8,8.3606e-05,0.44242,0.3717,1411.3,0.7052,995.3
2.25,2702745.92,2050.13,3.0744,1966.4,1.28,1060.8,8.3607e-05,0.44203,0.3719,1411.3,0.7052,995.3
2.25,2847535.88,2050.18,3.2391,1965.9,1.2801,1060.8,8.3608e-05,0.44167,0.3721,1411.3,0.7052,995.3
2.25,2992325.84,2050.22,3.4037,1965.5,1.2801,1060.9,8.3609e-05,0.44134,0.3724,1411.3,0.7052,995.3
2.25,3137115.8,2050.26,3.5684,1965.1,1.2802,1060.9,8.361e-05,0.44103,0.3725,1411.3,0.7053,995.3
2.25,3281905.76,2050.3,3.733,1964.8,1.2802,1060.9,8.3611e-05,0.44074,0.3727,1411.3,0.7053,995.3
2.25,3426695.72,2050.33,3.8977,1964.4,1.2803,1060.9,8.3611e-05,0.44047,0.3729,1411.3,0.7053,995.3
2.25,3571485.68,2050.36,4.0623,1964.1,1.2803,1060.9,8.3612e-05,0.44021,0.3731,1411.3,0.7053,995.3
2.5,96526.64,2177.81,0.10752,2101.9,1.2539,1061,8.5809e-05,0.54915,0.3284,1434.1,0.7,1003.9
2.5,241316.6,2183.59,0.26822,2036.5,1.2604,1064.9,8.5953e-05,0.50125,0.3492,1433.9,0.701,1005.1
2.5,386106.56,2185.78,0.4288,2012,1.263,1066.4,8.6008e-05,0.48324,0.3581,1433.9,0.7013,1005.6
2.5,530896.52,2187.02,0.58933,1998.2,1.2644,1067.3,8.6038e-05,0.47306,0.3634,1433.8,0.7015,1005.8
2.5,675686.48,2187.84,0.74983,1989,1.2654,1067.8,8.6059e-05,0.46628,0.3671,1433.8,0.7016,1006
2.5,820476.44,2188.45,0.9103,1982.4,1.2662,1068.3,8.6074e-05,0.46135,0.3698,1433.8,0.7017,1006.1
2.5,965266.4,2188.91,1.0708,1977.2,1.2667,1068.6,8.6085e-05,0.45756,0.372,1433.8,0.7018,1006.2
2.5,1110056.36,2189.28,1.2312,1973.1,1.2672,1068.9,8.6094e-05,0.45452,0.3737,1433.8,0.7018,1006.3
2.5,1254846.32,2189.59,1.3916,1969.7,1.2675,1069.1,8.6102e-05,0.45201,0.3752,1433.8,0.7019,1006.3
2.5,1399636.28,2189.85,1.5521,1966.9,1.2679,1069.3,8.6108e-05,0.4499,0.3764,1433.7,0.7019,1006.4
2.5,1544426.24,2190.07,1.7125,1964.4,1.2681,1069.4,8.6114e-05,0.44809,0.3775,1433.7,0.702,1006.4
2.5,1689216.2,2190.27,1.8729,1962.3,1.2684,1069.6,8.6118e-05,0.44651,0.3785,1433.7,0.702,1006.5
2.5,1834006.16,2190.44,2.0333,1960.4,1.2686,1069.7,8.6123e-05,0.44512,0.3793,1433.7,0.702,1006.5
2.5,1978796.12,2190.59,2.1937,1958.8,1.2688,1069.8,8.6126e-05,0.44388,0.3801,1433.7,0.702,1006.5
2.5,2123586.08,2190.73,2.3541,1957.3,1.2689,1069.9,8.613e-05,0.44277,0.3807,1433.7,0.7021,1006.6
2.5,2268376.04,2190.86,2.5145,1955.9,1.2691,1070,8.6133e-05,0.44177,0.3814,1433.7,0.7021,1006.6
2.5,2413166,2190.97,2.6749,1954.7,1.2692,1070.1,8.6135e-05,0.44086,0.3819,1433.7,0.7021,1006.6
2.5,2557955.96,2191.07,2.8353,1953.6,1.2693,1070.1,8.6138e-05,0.44002,0.3824,1433.7,0.7021,1006.6
2.5,2702745.92,2191.17,2.9957,1952.6,1.2695,1070.2,8.614e-05,0.43926,0.3829,1433.7,0.7021,1006.6
2.5,2847535.88,2191.26,3.1561,1951.6,1.2696,1070.3,8.6142e-05,0.43855,0.3834,1433.7,0.7021,1006.7
2.5,2992325.84,2191.34,3.3165,1950.7,1.2697,1070.3,8.6144e-05,0.43789,0.3838,1433.7,0.7022,1006.7
2.5,3137115.8,2191.42,3.4768,1949.9,1.2698,1070.4,8.6146e-05,0.43728,0.3841,1433.7,0.7022,1006.7
2.5,3281905.76,2191.49,3.6372,1949.2,1.2698,1070.4,8.6148e-05,0.43671,0.3845,1433.7,0.7022,1006.7
2.5,3426695.72,2191.56,3.7976,1948.5,1.2699,1070.5,8.615e-05,0.43617,0.3848,1433.7,0.7022,1006.7
2.5,3571485.68,2191.63,3.958,1947.8,1.27,1070.5,8.6151e-05,0.43567,0.3852,1433.7,0.7022,1006.7
2.75,96526.64,2293.46,0.1058,2191.5,1.2373,1062.5,8.7748e-05,0.6158,0.3123,1451.8,0.6957,1010
2.75,241316.6,2303.56,0.26356,2088,1.2462,1068.2,8.7991e-05,0.54151,0.3393,1451.8,0.6972,1012.2
2.75,386106.56,2307.47,0.42112,2048.3,1.2498,1070.5,8.8086e-05,0.51293,0.3518,1451.7,0.6978,1013.1
2.75,530896.52,2309.71,0.57858,2025.7,1.2519,1071.8,8.814e-05,0.49659,0.3595,1451.7,0.6982,1013.5
2.75,675686.48,2311.22,0.73599,2010.6,1.2534,1072.7,8.8176e-05,0.48564,0.3651,1451.7,0.6984,1013.8
2.75,820476.44,2312.32,0.89336,1999.6,1.2545,1073.4,8.8202e-05,0.47764,0.3693,1451.6,0.6986,1014
