O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
7.2,1834006.16,2884.13,2.1191,3414.1,1.1458,995.8,9.5764e-05,0.65422,0.4998,1458,0.66,962.3
7.2,1978796.12,2889.02,2.2835,3387.9,1.1463,996.7,9.5871e-05,0.64742,0.5017,1458.7,0.6602,963
7.2,2123586.08,2893.55,2.4476,3363.8,1.1468,997.5,9.5969e-05,0.64118,0.5035,1459.3,0.6604,963.7
7.2,2268376.04,2897.76,2.6116,3341.5,1.1472,998.2,9.606e-05,0.63542,0.5051,1459.9,0.6606,964.4
7.2,2413166,2901.69,2.7755,3320.7,1.1476,998.9,9.6146e-05,0.63009,0.5067,1460.4,0.6607,965
7.2,2557955.96,2905.38,2.9392,3301.4,1.148,999.6,9.6226e-05,0.62512,0.5082,1460.9,0.6609,965.5
7.2,2702745.92,2908.86,3.1028,3283.2,1.1484,1000.2,9.6301e-05,0.62048,0.5096,1461.4,0.661,966
7.2,2847535.88,2912.14,3.2662,3266.1,1.1488,1000.8,9.6372e-05,0.61612,0.5109,1461.9,0.6612,966.5
7.2,2992325.84,2915.25,3.4295,3250,1.1491,1001.3,9.644e-05,0.61202,0.5121,1462.3,0.6613,967
7.2,3137115.8,2918.2,3.5927,3234.7,1.1494,1001.8,9.6504e-05,0.60815,0.5133,1462.7,0.6614,967.5
7.2,3281905.76,2921,3.7558,3220.2,1.1497,1002.3,9.6565e-05,0.60448,0.5144,1463.1,0.6616,967.9
7.2,3426695.72,2923.68,3.9188,3206.4,1.15,1002.8,9.6623e-05,0.601,0.5155,1463.4,0.6617,968.3
7.2,3571485.68,2926.24,4.0817,3193.3,1.1503,1003.3,9.6678e-05,0.59769,0.5165,1463.8,0.6618,968.7
